Date,open,close,high,low,volumn,price_change,day,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,percent_change
2016-09-26,225.35,229.5,230.0,224.9,146790.0,-0.015700000000000002,2016-09-26,232.66,234.64500000000004,239.42999999999998,73116.0,61721.0,56167.0,-0.017130620985010725
2016-09-27,224.8,226.95,228.0,224.0,53710.0,-0.0024,2016-09-27,231.25,233.74499999999998,238.05249999999995,73692.0,63120.0,55780.5,-0.011111111111111183
2016-09-28,225.0,226.7,228.0,224.1,181330.0,0.0009,2016-09-28,229.83,232.9,236.8875,98434.0,75007.0,63140.0,-0.001101564221194118
2016-09-29,222.3,226.05,227.15,219.0,407820.0,-0.012,2016-09-29,228.54000000000002,231.84499999999997,236.06,170978.0,111430.0,81177.5,-0.0028672254080280846
2016-09-30,225.1,222.0,226.0,215.6,176190.0,0.0126,2016-09-30,226.24,230.2,235.06,193168.0,122433.0,87003.5,-0.01791639017916391
2016-10-03,228.45,226.2,230.0,226.0,56660.0,0.0149,2016-10-03,225.58,229.11999999999998,234.15,175142.0,124129.0,86995.0,0.018918918918918948
2016-10-04,226.7,229.3,229.5,225.75,22560.0,-0.0077,2016-10-04,226.05,228.65,233.31499999999997,168912.0,121302.0,86737.5,0.013704686118479303
2016-10-05,232.15,227.8,234.6,225.0,108330.0,0.024,2016-10-05,226.26999999999998,228.05,232.545,154312.0,126373.0,89634.0,-0.0065416484954208265
2016-10-06,229.15,233.0,234.7,228.1,48730.0,-0.0129,2016-10-06,227.66000000000003,228.1,232.075,82494.0,126736.0,88984.5,0.022827041264266823
2016-10-07,225.75,229.5,230.0,225.0,73810.0,-0.0148,2016-10-07,229.16000000000003,227.7,231.7,62018.0,127593.0,88972.5,-0.015021459227467782
2016-10-10,225.1,226.05,227.5,221.5,22970.0,-0.0029,2016-10-10,229.13000000000002,227.35499999999996,231.0,55280.0,115211.0,88466.0,-0.015032679738562038
2016-10-13,225.5,227.3,227.3,224.2,27700.0,0.0018,2016-10-13,228.73000000000002,227.39000000000001,230.56750000000002,56308.0,112610.0,87865.0,0.005529750055297544
2016-10-14,227.35,224.55,232.65,224.55,57600.0,0.008199999999999999,2016-10-14,228.08,227.175,230.0375,46162.0,100237.0,87622.0,-0.01209854817421907
2016-10-17,225.7,225.5,231.4,225.2,50890.0,-0.0073,2016-10-17,226.58,227.12000000000003,229.48250000000002,46594.0,64544.0,87987.0,0.004230683589401041
2016-10-18,226.75,225.95,228.3,225.5,152190.0,0.004699999999999999,2016-10-18,225.86999999999998,227.51500000000001,228.85750000000002,62270.0,62144.0,92288.5,0.001995565410199518
2016-10-19,228.85,227.3,231.2,227.0,103900.0,0.009300000000000001,2016-10-19,226.12000000000003,227.625,228.37250000000003,78456.0,66868.0,95498.5,0.0059747731799071335
2016-10-20,227.45,229.1,231.75,227.0,580270.0,-0.0060999999999999995,2016-10-20,226.48000000000002,227.60500000000002,228.1275,188970.0,122639.0,121970.5,0.007919049714034232
2016-10-21,227.55,227.25,230.5,226.55,620930.0,0.0004,2016-10-21,227.02000000000004,227.55,227.8,301636.0,173899.0,150136.0,-0.008075076385857693
2016-10-24,224.8,227.15,228.3,224.4,69760.0,-0.0121,2016-10-24,227.35,226.965,227.53250000000003,305410.0,176002.0,151369.0,-0.00044004400440045277
2016-10-25,224.3,224.0,225.9,223.4,260779.99999999997,-0.0022,2016-10-25,226.95999999999998,226.41500000000002,227.05750000000003,327128.0,194699.0,161146.0,-0.013867488443759624
2016-10-26,223.0,223.0,224.9,222.5,145690.0,-0.0058,2016-10-26,226.1,226.10999999999999,226.73250000000002,335486.0,206971.0,161091.0,-0.004464285714285698
2016-10-27,221.9,222.5,223.85,220.7,79920.0,-0.0049,2016-10-27,224.78000000000003,225.63000000000002,226.51000000000005,235416.0,212193.0,162401.5,-0.0022421524663677195
2016-10-28,222.05,221.2,225.4,220.0,44010.0,0.0007000000000000001,2016-10-28,223.57,225.295,226.23499999999999,120032.0,210834.0,155535.5,-0.005842696629213551
2016-10-30,223.75,227.0,227.0,222.0,13880.0,0.0077,2016-10-30,223.53999999999996,225.445,226.28250000000003,108856.0,207133.0,135838.5,0.02622061482820981
2016-11-01,224.25,225.5,225.5,221.5,72290.0,0.0022,2016-11-01,223.83999999999997,225.4,226.45750000000004,71158.0,199143.0,130643.5,-0.0066079295154185536
2016-11-02,221.7,223.75,229.25,221.05,73220.0,-0.011399999999999999,2016-11-02,223.98999999999995,225.045,226.33500000000004,56664.0,196075.0,131471.5,-0.0077605321507761005
2016-11-03,221.95,220.1,223.5,220.1,47840.0,0.0011,2016-11-03,223.51,224.14499999999998,225.875,50248.0,142832.0,132735.5,-0.016312849162011145
2016-11-04,218.1,222.0,222.95,215.0,93290.0,-0.0173,2016-11-04,223.67,223.61999999999998,225.58499999999998,60104.0,90068.0,131983.5,0.008632439800090985
2016-11-07,218.05,220.15,222.1,218.0,36730.0,-0.0002,2016-11-07,222.3,222.92,224.94250000000002,64674.0,86765.0,131383.5,-0.008333333333333304
2016-11-08,223.8,218.45,225.0,217.65,79490.0,0.0264,2016-11-08,220.89000000000001,222.365,224.39000000000001,66114.0,68636.0,131667.5,-0.007722007722007818
2016-11-09,214.85,206.1,218.5,205.0,82770.0,-0.04,2016-11-09,217.35999999999999,220.675,223.3925,68024.0,62344.0,134657.5,-0.056534676127260264
2016-11-10,220.8,222.0,223.15,216.55,51300.0,0.0277,2016-11-10,217.74,220.625,223.1275,68716.0,59482.0,135837.5,0.07714701601164475
2016-11-11,217.95,220.8,220.8,216.4,38880.0,-0.0129,2016-11-11,217.5,220.58499999999998,222.93999999999997,57834.0,58969.0,134901.5,-0.00540540540540535
2016-11-15,209.55,221.4,222.0,208.8,94700.0,-0.0385,2016-11-15,217.75,220.025,222.73499999999999,69428.0,67051.0,137092.0,0.0027173913043478937
